Breakfast Participation of Eligible Students,,,,
,,,,
,,,,
Year,Division,School,Level,Percent
2023 - 2024,Accomack County Public Schools,Accawmacke Elementary,SCH,65
2023 - 2024,Accomack County Public Schools,Arcadia High,SCH,43.3
2023 - 2024,Accomack County Public Schools,Arcadia Middle ,SCH,42.2
2023 - 2024,Accomack County Public Schools,Chincoteague Elementary,SCH,52.1
2023 - 2024,Accomack County Public Schools,Chincoteague High,SCH,22
2023 - 2024,Accomack County Public Schools,Kegotank Elementary,SCH,75.4
2023 - 2024,Accomack County Public Schools,Metompkin Elementary,SCH,79.5
2023 - 2024,Accomack County Public Schools,Nandua High,SCH,24.1
2023 - 2024,Accomack County Public Schools,Nandua Middle,SCH,53.1
2023 - 2024,Accomack County Public Schools,Pungoteague Elementary,SCH,68.5
2023 - 2024,Accomack County Public Schools,Tangier Combined,SCH,69.2
2023 - 2024,Albemarle County Public Schools,Agnor Elementary,SCH,37.6
2023 - 2024,Albemarle County Public Schools,Albemarle High,SCH,13.2
2023 - 2024,Albemarle County Public Schools,Baker-Butler Elementary,SCH,29.3
2023 - 2024,Albemarle County Public Schools,Broadus Wood Elementary,SCH,45.7
2023 - 2024,Albemarle County Public Schools,Brownsville Elementary,SCH,36.9
2023 - 2024,Albemarle County Public Schools,Community Lab School,SCH,47
2023 - 2024,Albemarle County Public Schools,Crozet Elementary,SCH,31.6
2023 - 2024,Albemarle County Public Schools,Hollymead Elementary,SCH,17.4
2023 - 2024,Albemarle County Public Schools,Ivy Elementary,SCH,39.9
2023 - 2024,Albemarle County Public Schools,Jackson P. Burley Middle,SCH,38.7
2023 - 2024,Albemarle County Public Schools,Joseph T. Henley Middle,SCH,27.8
2023 - 2024,Albemarle County Public Schools,Journey Middle,SCH,33.5
2023 - 2024,Albemarle County Public Schools,Lakeside Middle,SCH,17.4
2023 - 2024,Albemarle County Public Schools,Leslie H. Walton Middle,SCH,43.9
2023 - 2024,Albemarle County Public Schools,Mary Carr Greer Elementary,SCH,63.1
2023 - 2024,Albemarle County Public Schools,Monticello High,SCH,24.2
2023 - 2024,Albemarle County Public Schools,Mountain View Elementary,SCH,33.9
2023 - 2024,Albemarle County Public Schools,Red Hill Elementary,SCH,49.5
2023 - 2024,Albemarle County Public Schools,Scottsville Elementary,SCH,65.3
2023 - 2024,Albemarle County Public Schools,Stone Robinson Elementary,SCH,45.2
2023 - 2024,Albemarle County Public Schools,Stony Point Elementary,SCH,42.5
2023 - 2024,Albemarle County Public Schools,Virginia L. Murray Elementary,SCH,26.7
2023 - 2024,Albemarle County Public Schools,Western Albemarle High,SCH,21.3
2023 - 2024,Albemarle County Public Schools,Woodbrook Elementary,SCH,45.1
2023 - 2024,Alexandria City Public Schools,Alexandria City High,SCH,12.3
2023 - 2024,Alexandria City Public Schools,Charles Barrett Elementary,SCH,28.2
2023 - 2024,Alexandria City Public Schools,Cora Kelly School for Math Science and Technology,SCH,61.7
2023 - 2024,Alexandria City Public Schools,Douglas MacArthur Elementary,SCH,39.1
2023 - 2024,Alexandria City Public Schools,Ferdinand T. Day Elementary,SCH,66.1
2023 - 2024,Alexandria City Public Schools,Francis C. Hammond Middle,SCH,34.8
2023 - 2024,Alexandria City Public Schools,George Mason Elementary,SCH,49.9
2023 - 2024,Alexandria City Public Schools,George Washington Middle,SCH,31.4
2023 - 2024,Alexandria City Public Schools,James K. Polk Elementary,SCH,36
2023 - 2024,Alexandria City Public Schools,Jefferson-Houston PK-8 School,SCH,47.8
2023 - 2024,Alexandria City Public Schools,John Adams Elementary,SCH,31.7
2023 - 2024,Alexandria City Public Schools,Lyles-Crouch Elementary,SCH,32.6
2023 - 2024,Alexandria City Public Schools,Mount Vernon Elementary,SCH,35.3
2023 - 2024,Alexandria City Public Schools,Naomi L. Brooks Elementary,SCH,50.1
2023 - 2024,Alexandria City Public Schools,Patrick Henry K-8 School,SCH,64.2
2023 - 2024,Alexandria City Public Schools,Samuel W. Tucker Elementary,SCH,15.3
2023 - 2024,Alexandria City Public Schools,William Ramsay Elementary,SCH,50.4
2023 - 2024,Alleghany Highlands Public Schools,Alleghany High,SCH,16.2
2023 - 2024,Alleghany Highlands Public Schools,Callaghan Elementary,SCH,65.8
2023 - 2024,Alleghany Highlands Public Schools,Covington Middle,SCH,42.3
2023 - 2024,Alleghany Highlands Public Schools,Jeter-Watson Elementary,SCH,43
2023 - 2024,Alleghany Highlands Public Schools,Mountain View Elementary,SCH,51
2023 - 2024,Alleghany Highlands Public Schools,Sharon Elementary,SCH,50.5
2023 - 2024,Amelia County Public Schools,Amelia County Elementary,SCH,61.1
2023 - 2024,Amelia County Public Schools,Amelia County High,SCH,30.7
2023 - 2024,Amelia County Public Schools,Amelia County Middle,SCH,65.1
2023 - 2024,Amherst County Public Schools,Amelon Elementary,SCH,54.9
2023 - 2024,Amherst County Public Schools,Amherst County High,SCH,24.2
2023 - 2024,Amherst County Public Schools,Amherst Elementary,SCH,63.3
2023 - 2024,Amherst County Public Schools,Amherst Middle,SCH,50.1
2023 - 2024,Amherst County Public Schools,Central Elementary,SCH,75.4
2023 - 2024,Amherst County Public Schools,Elon Elementary,SCH,54.8
2023 - 2024,Amherst County Public Schools,Madison Heights Elementary,SCH,68.5
2023 - 2024,Amherst County Public Schools,Monelison Middle,SCH,50.1
2023 - 2024,Amherst County Public Schools,Temperance Elementary,SCH,56.2
2023 - 2024,Appomattox County Public Schools,Appomattox County High,SCH,30.5
2023 - 2024,Appomattox County Public Schools,Appomattox Elementary,SCH,57.8
2023 - 2024,Appomattox County Public Schools,Appomattox Middle,SCH,48.3
2023 - 2024,Appomattox County Public Schools,Appomattox Primary,SCH,67.4
2023 - 2024,Arlington County Public Schools,Abingdon Elementary,SCH,33.8
2023 - 2024,Arlington County Public Schools,Alice West Fleet Elementary,SCH,34.7
2023 - 2024,Arlington County Public Schools,Arlington Community High,SCH,24.2
2023 - 2024,Arlington County Public Schools,Arlington Science Focus School,SCH,27.2
2023 - 2024,Arlington County Public Schools,Arlington Traditional,SCH,31.3
2023 - 2024,Arlington County Public Schools,Ashlawn Elementary,SCH,42.7
2023 - 2024,Arlington County Public Schools,Barcroft Elementary,SCH,37.6
2023 - 2024,Arlington County Public Schools,Barrett Elementary,SCH,39.6
2023 - 2024,Arlington County Public Schools,Campbell Elementary,SCH,43.6
2023 - 2024,Arlington County Public Schools,Cardinal Elementary,SCH,16.8
2023 - 2024,Arlington County Public Schools,Carlin Springs Elementary,SCH,51.6
2023 - 2024,Arlington County Public Schools,Claremont Immersion,SCH,22.1
2023 - 2024,Arlington County Public Schools,Discovery Elementary,SCH,25.2
2023 - 2024,Arlington County Public Schools,Dorothy Hamm Middle,SCH,35.2
2023 - 2024,Arlington County Public Schools,Dr. Charles R. Drew Elementary,SCH,44.4
2023 - 2024,Arlington County Public Schools,Escuela Key Elementary,SCH,32.2
2023 - 2024,Arlington County Public Schools,Glebe Elementary,SCH,10.8
2023 - 2024,Arlington County Public Schools,Gunston Middle,SCH,11.9
2023 - 2024,Arlington County Public Schools,Hoffman-Boston Elementary,SCH,45
2023 - 2024,Arlington County Public Schools,Innovation Elementary ,SCH,32
2023 - 2024,Arlington County Public Schools,Jamestown Elementary,SCH,47.5
2023 - 2024,Arlington County Public Schools,Jefferson Middle,SCH,39.2
2023 - 2024,Arlington County Public Schools,Kenmore Middle,SCH,17.7
2023 - 2024,Arlington County Public Schools,Long Branch Elementary,SCH,32.6
2023 - 2024,Arlington County Public Schools,Montessori Public School of Arlington,SCH,25.6
2023 - 2024,Arlington County Public Schools,Nottingham Elementary,SCH,21
2023 - 2024,Arlington County Public Schools,Oakridge Elementary,SCH,70.2
2023 - 2024,Arlington County Public Schools,Randolph Elementary,SCH,36.5
2023 - 2024,Arlington County Public Schools,Swanson Middle,SCH,17.4
