Inexperienced School Leaders,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Year,Level,Division,School,Poverty Level,Title1 Code,Percent of Inexperienced Principals,Number of Inexperienced Principals,Percent of Inexperienced Assistant Principals,Number of Inexperienced Assistant Principals
2023 - 2024,SCH,Accomack County Public Schools,Accawmacke Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Accomack County Public Schools,Accawmacke Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Accomack County Public Schools,Accawmacke Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Accomack County Public Schools,Accawmacke Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Accomack County Public Schools,Arcadia High,All Schools,All Schools,0,0,50,1
2023 - 2024,SCH,Accomack County Public Schools,Arcadia High,All Schools,Non-Title I,0,0,50,1
2023 - 2024,SCH,Accomack County Public Schools,Arcadia High,High Poverty,All Schools,0,0,50,1
2023 - 2024,SCH,Accomack County Public Schools,Arcadia High,High Poverty,Non-Title I,0,0,50,1
2023 - 2024,SCH,Accomack County Public Schools,Arcadia Middle ,All Schools,All Schools,0,0,33.3,1
2023 - 2024,SCH,Accomack County Public Schools,Arcadia Middle ,All Schools,Title I,0,0,33.3,1
2023 - 2024,SCH,Accomack County Public Schools,Arcadia Middle ,High Poverty,All Schools,0,0,33.3,1
2023 - 2024,SCH,Accomack County Public Schools,Arcadia Middle ,High Poverty,Title I,0,0,33.3,1
2023 - 2024,SCH,Accomack County Public Schools,Chincoteague Elementary,All Schools,All Schools,0,0,100,1
2023 - 2024,SCH,Accomack County Public Schools,Chincoteague Elementary,All Schools,Non-Title I,0,0,100,1
2023 - 2024,SCH,Accomack County Public Schools,Chincoteague Elementary,High Poverty,All Schools,0,0,100,1
2023 - 2024,SCH,Accomack County Public Schools,Chincoteague Elementary,High Poverty,Non-Title I,0,0,100,1
2023 - 2024,SCH,Accomack County Public Schools,Chincoteague High,All Schools,All Schools,0,0,50,1
2023 - 2024,SCH,Accomack County Public Schools,Chincoteague High,All Schools,Non-Title I,0,0,50,1
2023 - 2024,SCH,Accomack County Public Schools,Chincoteague High,High Poverty,All Schools,0,0,50,1
2023 - 2024,SCH,Accomack County Public Schools,Chincoteague High,High Poverty,Non-Title I,0,0,50,1
2023 - 2024,SCH,Accomack County Public Schools,Kegotank Elementary,All Schools,All Schools,100,1,0,0
2023 - 2024,SCH,Accomack County Public Schools,Kegotank Elementary,All Schools,Title I,100,1,0,0
