On-time Graduation Rate,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Year,Level,Division,School,Subgroup,Cohort,Graduation Count,Virginia On-Time Graduation Rate,Completer Count,Completion Rate
2023,SCH,Accomack County Public Schools,Arcadia High,All Students,168,142,84.5,148,88.1
2023,SCH,Accomack County Public Schools,Arcadia High,Asian,<,<,100,<,100
2023,SCH,Accomack County Public Schools,Arcadia High,Black,59,51,86.4,53,89.8
2023,SCH,Accomack County Public Schools,Arcadia High,Economically Disadvantaged,107,90,84.1,94,87.9
2023,SCH,Accomack County Public Schools,Arcadia High,English Learners,25,16,64,18,72
2023,SCH,Accomack County Public Schools,Arcadia High,Female,84,76,90.5,78,92.9
2023,SCH,Accomack County Public Schools,Arcadia High,Hispanic,64,50,78.1,53,82.8
2023,SCH,Accomack County Public Schools,Arcadia High,Homeless,<,<,<,<,<
2023,SCH,Accomack County Public Schools,Arcadia High,Male,84,66,78.6,70,83.3
2023,SCH,Accomack County Public Schools,Arcadia High,Multiple Races,<,<,100,<,100
2023,SCH,Accomack County Public Schools,Arcadia High,Students with Disabilities,20,19,95,20,100
2023,SCH,Accomack County Public Schools,Arcadia High,White,43,39,90.7,40,93
2023,SCH,Accomack County Public Schools,Chincoteague High,All Students,45,41,91.1,41,91.1
2023,SCH,Accomack County Public Schools,Chincoteague High,Black,<,<,100,<,100
2023,SCH,Accomack County Public Schools,Chincoteague High,Economically Disadvantaged,16,13,81.3,13,81.3
2023,SCH,Accomack County Public Schools,Chincoteague High,Female,24,23,95.8,23,95.8
2023,SCH,Accomack County Public Schools,Chincoteague High,Hispanic,<,<,100,<,100
2023,SCH,Accomack County Public Schools,Chincoteague High,Homeless,<,<,<,<,<
2023,SCH,Accomack County Public Schools,Chincoteague High,Male,21,18,85.7,18,85.7
2023,SCH,Accomack County Public Schools,Chincoteague High,Military Connected,<,<,100,<,100
2023,SCH,Accomack County Public Schools,Chincoteague High,Students with Disabilities,<,<,<,<,<
2023,SCH,Accomack County Public Schools,Chincoteague High,White,39,35,89.7,35,89.7
2023,SCH,Accomack County Public Schools,Nandua High,All Students,168,148,88.1,148,88.1
2023,SCH,Accomack County Public Schools,Nandua High,American Indian,<,<,<,<,<
2023,SCH,Accomack County Public Schools,Nandua High,Asian,<,<,100,<,100
2023,SCH,Accomack County Public Schools,Nandua High,Black,73,60,82.2,60,82.2
2023,SCH,Accomack County Public Schools,Nandua High,Economically Disadvantaged,100,83,83,83,83
2023,SCH,Accomack County Public Schools,Nandua High,English Learners,18,17,94.4,17,94.4
2023,SCH,Accomack County Public Schools,Nandua High,Female,73,67,91.8,67,91.8
2023,SCH,Accomack County Public Schools,Nandua High,Foster Care,<,<,100,<,100
2023,SCH,Accomack County Public Schools,Nandua High,Hispanic,38,37,97.4,37,97.4
2023,SCH,Accomack County Public Schools,Nandua High,Homeless,<,<,<,<,<
2023,SCH,Accomack County Public Schools,Nandua High,Male,95,81,85.3,81,85.3
2023,SCH,Accomack County Public Schools,Nandua High,Multiple Races,<,<,100,<,100
2023,SCH,Accomack County Public Schools,Nandua High,Students with Disabilities,25,21,84,21,84
