Per Pupil Spending,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,Level Code,Division,School,End-of-Year Average Daily Membership,School-Level Expenditures Per-Pupil Federal,School-Level Expenditures Per-Pupil State,School-Level Expenditures Per-Pupil Subtotal,Division-Level Expenditures Per-Pupil Federal,Division-Level Expenditures Per-Pupil State,Division-Level Expenditures Per-Pupil Subtotal,Total Per-Pupil Expenditures,Per-Pupil Exclusions,Total Expenditures,Per-Pupil Federal Funds,Per-Pupil State Funds
2023 - 2024,SCH,Accomack County Public Schools,Accawmacke Elementary,429.83,1777,9456,11233,350,4006,4356,15589,460858,6700511,2127,13462
2023 - 2024,SCH,Accomack County Public Schools,Arcadia High,691.81,527,7556,8083,350,4006,4356,12439,545864,8605317,877,11562
2023 - 2024,SCH,Accomack County Public Schools,Arcadia Middle ,494.47,1169,8252,9421,350,4006,4356,13777,327928,6812292,1519,12258
2023 - 2024,SCH,Accomack County Public Schools,Chincoteague Elementary,221.25,1077,10913,11991,350,4006,4356,16346,251575,3616640,1427,14919
2023 - 2024,SCH,Accomack County Public Schools,Chincoteague High,286.59,598,10482,11080,350,4006,4356,15435,263553,4423651,948,14488
2023 - 2024,SCH,Accomack County Public Schools,Kegotank Elementary,454.7,2160,8869,11028,350,4006,4356,15384,480144,6995047,2510,12875
2023 - 2024,SCH,Accomack County Public Schools,Metompkin Elementary,568.46,1484,8056,9541,350,4006,4356,13897,457672,7899631,1834,12062
2023 - 2024,SCH,Accomack County Public Schools,Nandua High,627.29,520,8771,9291,350,4006,4356,13647,547927,8560610,870,12777
2023 - 2024,SCH,Accomack County Public Schools,Nandua Middle,469.72,1329,9223,10552,350,4006,4356,14908,406000,7002423,1679,13229
2023 - 2024,SCH,Accomack County Public Schools,Pungoteague Elementary,459.28,2084,8239,10323,350,4006,4356,14678,437573,6741467,2434,12245
2023 - 2024,SCH,Accomack County Public Schools,Tangier Combined,41,2104,25239,27343,350,4006,4356,31699,125611,1299652,2454,29245
2023 - 2024,SCH,Albemarle County Public Schools,Agnor Elementary,476.51,1637,13266,14903,51,5060,5111,20014,368764,9536994,1688,18326
2023 - 2024,SCH,Albemarle County Public Schools,Albemarle High,1977.48,241,14087,14327,51,5060,5111,19438,2296968,38439210,292,19147
2023 - 2024,SCH,Albemarle County Public Schools,Baker-Butler Elementary,733.13,451,12838,13289,51,5060,5111,18400,683523,13489902,502,17898
2023 - 2024,SCH,Albemarle County Public Schools,Broadus Wood Elementary,281.32,246,15635,15881,51,5060,5111,20992,220346,5905432,297,20695
2023 - 2024,SCH,Albemarle County Public Schools,Brownsville Elementary,574.57,695,12520,13215,51,5060,5111,18326,739715,10529584,746,17580
2023 - 2024,SCH,Albemarle County Public Schools,Community Lab School,176.26,838,18300,19138,51,5060,5111,24249,998241,4274088,889,23360
2023 - 2024,SCH,Albemarle County Public Schools,Crozet Elementary,546.53,619,12251,12869,51,5060,5111,17981,413392,9826954,670,17311
2023 - 2024,SCH,Albemarle County Public Schools,Hollymead Elementary,358.66,782,14446,15227,51,5060,5111,20339,1196088,7294642,833,19506
2023 - 2024,SCH,Albemarle County Public Schools,Ivy Elementary,353.99,332,12759,13091,51,5060,5111,18202,290219,6443432,383,17819
2023 - 2024,SCH,Albemarle County Public Schools,Jackson P. Burley Middle,552.28,576,13779,14355,51,5060,5111,19466,1641902,10750652,627,18839
2023 - 2024,SCH,Albemarle County Public Schools,Joseph T. Henley Middle,801.36,395,11165,11560,51,5060,5111,16671,362218,13359615,446,16225
2023 - 2024,SCH,Albemarle County Public Schools,Journey Middle,608.56,350,13604,13954,51,5060,5111,19065,424301,11602392,401,18664
2023 - 2024,SCH,Albemarle County Public Schools,Lakeside Middle,525.47,366,12513,12879,51,5060,5111,17990,272055,9453311,417,17573
2023 - 2024,SCH,Albemarle County Public Schools,Leslie H. Walton Middle,328.3,738,17974,18712,51,5060,5111,23823,1648478,7821242,789,23034
2023 - 2024,SCH,Albemarle County Public Schools,Mary Carr Greer Elementary,508.09,1427,15754,17181,51,5060,5111,22292,1009585,11326524,1478,20814
2023 - 2024,SCH,Albemarle County Public Schools,Monticello High,1180.19,265,14150,14415,51,5060,5111,19526,824299,23044217,316,19210
2023 - 2024,SCH,Albemarle County Public Schools,Mountain View Elementary,754.05,817,18197,19014,51,5060,5111,24125,781021,18191688,868,23257
2023 - 2024,SCH,Albemarle County Public Schools,Red Hill Elementary,194.99,1381,16456,17837,51,5060,5111,22948,326474,4474712,1432,21516
2023 - 2024,SCH,Albemarle County Public Schools,Scottsville Elementary,214.15,1257,16321,17578,51,5060,5111,22689,263720,4858792,1308,21381
2023 - 2024,SCH,Albemarle County Public Schools,Stone Robinson Elementary,492.58,745,12648,13393,51,5060,5111,18504,342097,9114831,796,17708
2023 - 2024,SCH,Albemarle County Public Schools,Stony Point Elementary,190.19,1092,16998,18090,51,5060,5111,23201,200429,4412567,1143,22058
2023 - 2024,SCH,Albemarle County Public Schools,Virginia L. Murray Elementary,278.42,625,14897,15522,51,5060,5111,20633,454678,5744750,676,19957
2023 - 2024,SCH,Albemarle County Public Schools,Western Albemarle High,1156.95,342,12872,13214,51,5060,5111,18325,2917809,21201309,393,17932
2023 - 2024,SCH,Albemarle County Public Schools,Woodbrook Elementary,533.04,1311,15369,16680,51,5060,5111,21791,386783,11615385,1362,20429
2023 - 2024,SCH,Alexandria City Public Schools,Alexandria City High,4560.85,490,13972,14462,1059,5862,6921,21384,1668038,97527943,1549,19834
2023 - 2024,SCH,Alexandria City Public Schools,Charles Barrett Elementary,598.84,204,12846,13050,1059,5862,6921,19972,5306,11959760,1263,18708
2023 - 2024,SCH,Alexandria City Public Schools,Cora Kelly School for Math Science and Technology,328.24,663,19353,20016,1059,5862,6921,26937,239,8841945,1722,25215
2023 - 2024,SCH,Alexandria City Public Schools,Douglas MacArthur Elementary,640.29,22,14988,15010,1059,5862,6921,21932,0,14042555,1081,20850
2023 - 2024,SCH,Alexandria City Public Schools,Ferdinand T. Day Elementary,630.65,691,11174,11865,1059,5862,6921,18787,0,11847750,1750,17036
2023 - 2024,SCH,Alexandria City Public Schools,Francis C. Hammond Middle,1533.3,481,12871,13351,1059,5862,6921,20273,0,31083938,1540,18733
2023 - 2024,SCH,Alexandria City Public Schools,George Mason Elementary,332.37,71,17911,17981,1059,5862,6921,24903,0,8276937,1130,23773
2023 - 2024,SCH,Alexandria City Public Schools,George Washington Middle,1367.19,11,14639,14651,1059,5862,6921,21572,0,29493312,1070,20501
2023 - 2024,SCH,Alexandria City Public Schools,James K. Polk Elementary,865.84,534,11064,11597,1059,5862,6921,18519,0,16034264,1593,16926
2023 - 2024,SCH,Alexandria City Public Schools,Jefferson-Houston PK-8 School,591.27,578,17267,17844,1059,5862,6921,24766,0,14643371,1637,23129
2023 - 2024,SCH,Alexandria City Public Schools,John Adams Elementary,767.07,913,14854,15767,1059,5862,6921,22688,0,17403534,1972,20716
2023 - 2024,SCH,Alexandria City Public Schools,Lyles-Crouch Elementary,439.79,45,12808,12854,1059,5862,6921,19775,1348,8696966,1104,18670
2023 - 2024,SCH,Alexandria City Public Schools,Mount Vernon Elementary,913.59,91,12721,12812,1059,5862,6921,19734,0,18028570,1150,18583
2023 - 2024,SCH,Alexandria City Public Schools,Naomi L. Brooks Elementary,341.95,0,14544,14544,1059,5862,6921,21466,0,7340274,1059,20406
2023 - 2024,SCH,Alexandria City Public Schools,Patrick Henry K-8 School,1063.03,392,10236,10628,1059,5862,6921,17550,4435,18655972,1451,16098
2023 - 2024,SCH,Alexandria City Public Schools,Samuel W. Tucker Elementary,734.63,455,13978,14433,1059,5862,6921,21354,13565,15687376,1514,19840
2023 - 2024,SCH,Alexandria City Public Schools,William Ramsay Elementary,668.93,636,14675,15311,1059,5862,6921,22233,0,14872040,1695,20537
2023 - 2024,SCH,Alleghany Highlands Public Schools,Alleghany High,820.05,716,8344,9060,168,5123,5291,14351,48104,11768394,884,13467
2023 - 2024,SCH,Alleghany Highlands Public Schools,Callaghan Elementary,255.44,1163,7787,8950,168,5123,5291,14241,0,3637764,1331,12910
