Postsecondary Enrollment,,,,,,,
,,,,,,,
,,,,,,,
Year,Level,Division,School,Subgroup,Students earning a federally recognized high school diploma,Students enrolled in higher education within 16 months of graduation,Percent
2019,SCH,Accomack County Public Schools,Arcadia High,All Students,143,61,43
2019,SCH,Accomack County Public Schools,Arcadia High,Asian,<,<,<
2019,SCH,Accomack County Public Schools,Arcadia High,Black,61,32,52
2019,SCH,Accomack County Public Schools,Arcadia High,Economically Disadvantaged,58,20,34
2019,SCH,Accomack County Public Schools,Arcadia High,English Learners,23,<,<
2019,SCH,Accomack County Public Schools,Arcadia High,Female,77,38,49
2019,SCH,Accomack County Public Schools,Arcadia High,Hispanic,33,<,<
2019,SCH,Accomack County Public Schools,Arcadia High,Male,66,23,35
2019,SCH,Accomack County Public Schools,Arcadia High,Multiple Races,<,<,<
2019,SCH,Accomack County Public Schools,Arcadia High,Students with Disabilities,13,<,<
2019,SCH,Accomack County Public Schools,Arcadia High,White,46,19,41
2019,SCH,Accomack County Public Schools,Chincoteague High,All Students,53,33,62
2019,SCH,Accomack County Public Schools,Chincoteague High,American Indian,<,<,<
2019,SCH,Accomack County Public Schools,Chincoteague High,Black,<,<,<
2019,SCH,Accomack County Public Schools,Chincoteague High,Economically Disadvantaged,15,<,<
2019,SCH,Accomack County Public Schools,Chincoteague High,Female,18,12,67
2019,SCH,Accomack County Public Schools,Chincoteague High,Hispanic,<,<,<
2019,SCH,Accomack County Public Schools,Chincoteague High,Male,35,21,60
2019,SCH,Accomack County Public Schools,Chincoteague High,Native Hawaiian,<,<,<
2019,SCH,Accomack County Public Schools,Chincoteague High,Students with Disabilities,<,<,<
2019,SCH,Accomack County Public Schools,Chincoteague High,White,43,24,56
2019,SCH,Accomack County Public Schools,Nandua High,All Students,142,74,52
2019,SCH,Accomack County Public Schools,Nandua High,American Indian,<,<,<
2019,SCH,Accomack County Public Schools,Nandua High,Asian,<,<,<
2019,SCH,Accomack County Public Schools,Nandua High,Black,59,34,58
2019,SCH,Accomack County Public Schools,Nandua High,Economically Disadvantaged,50,26,52
2019,SCH,Accomack County Public Schools,Nandua High,English Learners,19,<,<
2019,SCH,Accomack County Public Schools,Nandua High,Female,74,48,65
