Provisionally Licensed,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Year,Division,School,Level,Poverty Level,Special Education Percent,Provisional Percent,Title 1 Code,y,x10
2023 - 2024,Accomack County Public Schools,Accawmacke Elementary,SCH,High Poverty,0,15.2,0,5,All Schools
2023 - 2024,Accomack County Public Schools,Accawmacke Elementary,SCH,High Poverty,0,15.2,0,5,Title I
2023 - 2024,Accomack County Public Schools,Arcadia High,SCH,High Poverty,0,9.1,0,5,All Schools
2023 - 2024,Accomack County Public Schools,Arcadia High,SCH,High Poverty,0,9.1,0,5,Non-Title I
2023 - 2024,Accomack County Public Schools,Arcadia Middle ,SCH,High Poverty,0,12.8,0,5,All Schools
2023 - 2024,Accomack County Public Schools,Arcadia Middle ,SCH,High Poverty,0,12.8,0,5,Title I
2023 - 2024,Accomack County Public Schools,Chincoteague Elementary,SCH,High Poverty,0,15,0,3,All Schools
2023 - 2024,Accomack County Public Schools,Chincoteague Elementary,SCH,High Poverty,0,15,0,3,Non-Title I
2023 - 2024,Accomack County Public Schools,Chincoteague High,SCH,High Poverty,0,16.7,0,5,All Schools
2023 - 2024,Accomack County Public Schools,Chincoteague High,SCH,High Poverty,0,16.7,0,5,Non-Title I
2023 - 2024,Accomack County Public Schools,Kegotank Elementary,SCH,High Poverty,0,3.1,0,1,All Schools
2023 - 2024,Accomack County Public Schools,Kegotank Elementary,SCH,High Poverty,0,3.1,0,1,Title I
2023 - 2024,Accomack County Public Schools,Metompkin Elementary,SCH,High Poverty,2.7,13.5,1,5,All Schools
2023 - 2024,Accomack County Public Schools,Metompkin Elementary,SCH,High Poverty,2.7,13.5,1,5,Title I
2023 - 2024,Accomack County Public Schools,Nandua High,SCH,High Poverty,0,8.3,0,4,All Schools
2023 - 2024,Accomack County Public Schools,Nandua High,SCH,High Poverty,0,8.3,0,4,Non-Title I
2023 - 2024,Accomack County Public Schools,Nandua Middle,SCH,High Poverty,0,5.1,0,2,All Schools
2023 - 2024,Accomack County Public Schools,Nandua Middle,SCH,High Poverty,0,5.1,0,2,Title I
2023 - 2024,Accomack County Public Schools,Pungoteague Elementary,SCH,High Poverty,3.2,3.2,1,1,All Schools
2023 - 2024,Accomack County Public Schools,Pungoteague Elementary,SCH,High Poverty,3.2,3.2,1,1,Title I
2023 - 2024,Accomack County Public Schools,Tangier Combined,SCH,High Poverty,0,0,0,0,All Schools
2023 - 2024,Accomack County Public Schools,Tangier Combined,SCH,High Poverty,0,0,0,0,Non-Title I
2023 - 2024,Albemarle County Public Schools,Agnor Elementary,SCH,Medium Poverty,0,2,0,1,All Schools
2023 - 2024,Albemarle County Public Schools,Agnor Elementary,SCH,Medium Poverty,0,2,0,1,Title I
2023 - 2024,Albemarle County Public Schools,Albemarle High,SCH,Low Poverty,1,8.3,2,16,All Schools
2023 - 2024,Albemarle County Public Schools,Albemarle High,SCH,Low Poverty,1,8.3,2,16,Non-Title I
2023 - 2024,Albemarle County Public Schools,Baker-Butler Elementary,SCH,Low Poverty,0,4.2,0,3,All Schools
2023 - 2024,Albemarle County Public Schools,Baker-Butler Elementary,SCH,Low Poverty,0,4.2,0,3,Non-Title I
2023 - 2024,Albemarle County Public Schools,Broadus Wood Elementary,SCH,Low Poverty,0,3.4,0,1,All Schools
2023 - 2024,Albemarle County Public Schools,Broadus Wood Elementary,SCH,Low Poverty,0,3.4,0,1,Non-Title I
2023 - 2024,Albemarle County Public Schools,Brownsville Elementary,SCH,Low Poverty,0,1.8,0,1,All Schools
2023 - 2024,Albemarle County Public Schools,Brownsville Elementary,SCH,Low Poverty,0,1.8,0,1,Non-Title I
