Teacher Educational Attainment,,,,,
,,,,,
,,,,,
Year,Level,Division,School,Year Percent,Type
2023 - 2024,SCH,Accomack County Public Schools,Accawmacke Elementary,39,Bachelor's Degree
2023 - 2024,SCH,Accomack County Public Schools,Accawmacke Elementary,47,Master's Degree
2023 - 2024,SCH,Accomack County Public Schools,Accawmacke Elementary,0,Doctoral Degree
2023 - 2024,SCH,Accomack County Public Schools,Arcadia High,43,Bachelor's Degree
2023 - 2024,SCH,Accomack County Public Schools,Arcadia High,45,Master's Degree
2023 - 2024,SCH,Accomack County Public Schools,Arcadia High,3,Doctoral Degree
2023 - 2024,SCH,Accomack County Public Schools,Arcadia Middle ,53,Bachelor's Degree
2023 - 2024,SCH,Accomack County Public Schools,Arcadia Middle ,35,Master's Degree
2023 - 2024,SCH,Accomack County Public Schools,Arcadia Middle ,0,Doctoral Degree
2023 - 2024,SCH,Accomack County Public Schools,Chincoteague Elementary,35,Bachelor's Degree
2023 - 2024,SCH,Accomack County Public Schools,Chincoteague Elementary,52,Master's Degree
2023 - 2024,SCH,Accomack County Public Schools,Chincoteague Elementary,9,Doctoral Degree
2023 - 2024,SCH,Accomack County Public Schools,Chincoteague High,45,Bachelor's Degree
2023 - 2024,SCH,Accomack County Public Schools,Chincoteague High,48,Master's Degree
2023 - 2024,SCH,Accomack County Public Schools,Chincoteague High,3,Doctoral Degree
2023 - 2024,SCH,Accomack County Public Schools,Kegotank Elementary,77,Bachelor's Degree
2023 - 2024,SCH,Accomack County Public Schools,Kegotank Elementary,23,Master's Degree
2023 - 2024,SCH,Accomack County Public Schools,Kegotank Elementary,0,Doctoral Degree
2023 - 2024,SCH,Accomack County Public Schools,Metompkin Elementary,56,Bachelor's Degree
2023 - 2024,SCH,Accomack County Public Schools,Metompkin Elementary,27,Master's Degree
2023 - 2024,SCH,Accomack County Public Schools,Metompkin Elementary,0,Doctoral Degree
2023 - 2024,SCH,Accomack County Public Schools,Nandua High,38,Bachelor's Degree
2023 - 2024,SCH,Accomack County Public Schools,Nandua High,50,Master's Degree
2023 - 2024,SCH,Accomack County Public Schools,Nandua High,2,Doctoral Degree
2023 - 2024,SCH,Accomack County Public Schools,Nandua Middle,40,Bachelor's Degree
2023 - 2024,SCH,Accomack County Public Schools,Nandua Middle,48,Master's Degree
2023 - 2024,SCH,Accomack County Public Schools,Nandua Middle,0,Doctoral Degree
2023 - 2024,SCH,Accomack County Public Schools,Pungoteague Elementary,45,Bachelor's Degree
2023 - 2024,SCH,Accomack County Public Schools,Pungoteague Elementary,45,Master's Degree
2023 - 2024,SCH,Accomack County Public Schools,Pungoteague Elementary,3,Doctoral Degree
2023 - 2024,SCH,Accomack County Public Schools,Tangier Combined,83,Bachelor's Degree
2023 - 2024,SCH,Accomack County Public Schools,Tangier Combined,0,Master's Degree
2023 - 2024,SCH,Accomack County Public Schools,Tangier Combined,17,Doctoral Degree
2023 - 2024,SCH,Albemarle County Public Schools,Agnor Elementary,38,Bachelor's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Agnor Elementary,60,Master's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Agnor Elementary,0,Doctoral Degree
2023 - 2024,SCH,Albemarle County Public Schools,Albemarle High,34,Bachelor's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Albemarle High,62,Master's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Albemarle High,4,Doctoral Degree
2023 - 2024,SCH,Albemarle County Public Schools,Baker-Butler Elementary,40,Bachelor's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Baker-Butler Elementary,60,Master's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Baker-Butler Elementary,0,Doctoral Degree
2023 - 2024,SCH,Albemarle County Public Schools,Broadus Wood Elementary,26,Bachelor's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Broadus Wood Elementary,74,Master's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Broadus Wood Elementary,0,Doctoral Degree
2023 - 2024,SCH,Albemarle County Public Schools,Brownsville Elementary,46,Bachelor's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Brownsville Elementary,53,Master's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Brownsville Elementary,2,Doctoral Degree
2023 - 2024,SCH,Albemarle County Public Schools,Community Lab School,39,Bachelor's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Community Lab School,52,Master's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Community Lab School,3,Doctoral Degree
2023 - 2024,SCH,Albemarle County Public Schools,Crozet Elementary,39,Bachelor's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Crozet Elementary,57,Master's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Crozet Elementary,0,Doctoral Degree
2023 - 2024,SCH,Albemarle County Public Schools,Hollymead Elementary,43,Bachelor's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Hollymead Elementary,55,Master's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Hollymead Elementary,0,Doctoral Degree
2023 - 2024,SCH,Albemarle County Public Schools,Ivy Elementary,22,Bachelor's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Ivy Elementary,72,Master's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Ivy Elementary,0,Doctoral Degree
2023 - 2024,SCH,Albemarle County Public Schools,Jackson P. Burley Middle,25,Bachelor's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Jackson P. Burley Middle,72,Master's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Jackson P. Burley Middle,2,Doctoral Degree
2023 - 2024,SCH,Albemarle County Public Schools,Joseph T. Henley Middle,34,Bachelor's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Joseph T. Henley Middle,60,Master's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Joseph T. Henley Middle,0,Doctoral Degree
2023 - 2024,SCH,Albemarle County Public Schools,Journey Middle,33,Bachelor's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Journey Middle,63,Master's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Journey Middle,1,Doctoral Degree
2023 - 2024,SCH,Albemarle County Public Schools,Lakeside Middle,38,Bachelor's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Lakeside Middle,61,Master's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Lakeside Middle,0,Doctoral Degree
2023 - 2024,SCH,Albemarle County Public Schools,Leslie H. Walton Middle,38,Bachelor's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Leslie H. Walton Middle,57,Master's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Leslie H. Walton Middle,2,Doctoral Degree
2023 - 2024,SCH,Albemarle County Public Schools,Mary Carr Greer Elementary,36,Bachelor's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Mary Carr Greer Elementary,58,Master's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Mary Carr Greer Elementary,0,Doctoral Degree
2023 - 2024,SCH,Albemarle County Public Schools,Monticello High,28,Bachelor's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Monticello High,67,Master's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Monticello High,2,Doctoral Degree
2023 - 2024,SCH,Albemarle County Public Schools,Mountain View Elementary,41,Bachelor's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Mountain View Elementary,56,Master's Degree
2023 - 2024,SCH,Albemarle County Public Schools,Mountain View Elementary,1,Doctoral Degree
2023 - 2024,SCH,Albemarle County Public Schools,Red Hill Elementary,32,Bachelor's Degree
