Teacher Quality,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Year,Level,Division,School,Poverty Level,Title1 Code,Percent of Inexperienced Teachers,Number of Inexperienced Teachers,Percent of Out-of-Field Teachers,Number of Out-of-Field Teachers,Percent of Out-of-Field and Inexperienced Teachers,Number of Out-of-Field and Inexperienced Teachers
2023 - 2024,SCH,Accomack County Public Schools,Accawmacke Elementary,High Poverty,All Schools,3,1,6.1,2,0,0
2023 - 2024,SCH,Accomack County Public Schools,Accawmacke Elementary,High Poverty,Title I,3,1,6.1,2,0,0
2023 - 2024,SCH,Accomack County Public Schools,Arcadia High,High Poverty,All Schools,14.5,8,20,11,3.6,2
2023 - 2024,SCH,Accomack County Public Schools,Arcadia High,High Poverty,Non-Title I,14.5,8,20,11,3.6,2
2023 - 2024,SCH,Accomack County Public Schools,Arcadia Middle ,High Poverty,All Schools,12.8,5,15.4,6,2.6,1
2023 - 2024,SCH,Accomack County Public Schools,Arcadia Middle ,High Poverty,Title I,12.8,5,15.4,6,2.6,1
2023 - 2024,SCH,Accomack County Public Schools,Chincoteague Elementary,High Poverty,All Schools,10,2,10,2,0,0
2023 - 2024,SCH,Accomack County Public Schools,Chincoteague Elementary,High Poverty,Non-Title I,10,2,10,2,0,0
2023 - 2024,SCH,Accomack County Public Schools,Chincoteague High,High Poverty,All Schools,6.7,2,16.7,5,0,0
2023 - 2024,SCH,Accomack County Public Schools,Chincoteague High,High Poverty,Non-Title I,6.7,2,16.7,5,0,0
2023 - 2024,SCH,Accomack County Public Schools,Kegotank Elementary,High Poverty,All Schools,12.5,4,12.5,4,0,0
2023 - 2024,SCH,Accomack County Public Schools,Kegotank Elementary,High Poverty,Title I,12.5,4,12.5,4,0,0
2023 - 2024,SCH,Accomack County Public Schools,Metompkin Elementary,High Poverty,All Schools,16.2,6,18.9,7,5.4,2
2023 - 2024,SCH,Accomack County Public Schools,Metompkin Elementary,High Poverty,Title I,16.2,6,18.9,7,5.4,2
2023 - 2024,SCH,Accomack County Public Schools,Nandua High,High Poverty,All Schools,4.2,2,20.8,10,0,0
2023 - 2024,SCH,Accomack County Public Schools,Nandua High,High Poverty,Non-Title I,4.2,2,20.8,10,0,0
2023 - 2024,SCH,Accomack County Public Schools,Nandua Middle,High Poverty,All Schools,7.7,3,23.1,9,2.6,1
2023 - 2024,SCH,Accomack County Public Schools,Nandua Middle,High Poverty,Title I,7.7,3,23.1,9,2.6,1
2023 - 2024,SCH,Accomack County Public Schools,Pungoteague Elementary,High Poverty,All Schools,6.5,2,6.5,2,0,0
2023 - 2024,SCH,Accomack County Public Schools,Pungoteague Elementary,High Poverty,Title I,6.5,2,6.5,2,0,0
2023 - 2024,SCH,Accomack County Public Schools,Tangier Combined,High Poverty,All Schools,0,0,40,2,0,0
2023 - 2024,SCH,Accomack County Public Schools,Tangier Combined,High Poverty,Non-Title I,0,0,40,2,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Agnor Elementary,Medium Poverty,All Schools,7.8,4,3.9,2,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Agnor Elementary,Medium Poverty,Title I,7.8,4,3.9,2,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Albemarle High,Low Poverty,All Schools,5.2,10,9.3,18,1,2
