School Year,Division Number,Division Name,School Number,School Name,Subject,Test Source,Pass Rate
2023-2024,1,Accomack County ,701,Accawmacke Elementary,English:Reading,SOL,60.99
2023-2024,1,Accomack County ,701,Accawmacke Elementary,History and Social Science,SOL,62.71
2023-2024,1,Accomack County ,701,Accawmacke Elementary,Mathematics,SOL,61.75
2023-2024,1,Accomack County ,701,Accawmacke Elementary,Science,SOL,68.42
2023-2024,1,Accomack County ,540,Arcadia High,English:Reading,SOL,76.51
2023-2024,1,Accomack County ,540,Arcadia High,English:Writing,SOL,59.33
2023-2024,1,Accomack County ,540,Arcadia High,History and Social Science,SOL,71.02
2023-2024,1,Accomack County ,540,Arcadia High,Mathematics,SOL,81.77
2023-2024,1,Accomack County ,540,Arcadia High,Science,SOL,62.4
2023-2024,1,Accomack County ,704,Arcadia Middle ,English:Reading,SOL,58.21
2023-2024,1,Accomack County ,704,Arcadia Middle ,History and Social Science,SOL,73.24
2023-2024,1,Accomack County ,704,Arcadia Middle ,Mathematics,SOL,56.67
2023-2024,1,Accomack County ,704,Arcadia Middle ,Science,SOL,49.08
2023-2024,1,Accomack County ,80,Chincoteague Elementary,English:Reading,SOL,74.76
2023-2024,1,Accomack County ,80,Chincoteague Elementary,History and Social Science,SOL,66.67
2023-2024,1,Accomack County ,80,Chincoteague Elementary,Mathematics,SOL,74.76
2023-2024,1,Accomack County ,80,Chincoteague Elementary,Science,SOL,72.97
2023-2024,1,Accomack County ,580,Chincoteague High,English:Reading,SOL,84.62
2023-2024,1,Accomack County ,580,Chincoteague High,English:Writing,SOL,86.84
2023-2024,1,Accomack County ,580,Chincoteague High,History and Social Science,SOL,69.31
2023-2024,1,Accomack County ,580,Chincoteague High,Mathematics,SOL,86.86
2023-2024,1,Accomack County ,580,Chincoteague High,Science,SOL,81.25
2023-2024,1,Accomack County ,600,Kegotank Elementary,English:Reading,SOL,52.24
2023-2024,1,Accomack County ,600,Kegotank Elementary,History and Social Science,SOL,39.06
2023-2024,1,Accomack County ,600,Kegotank Elementary,Mathematics,SOL,36.97
2023-2024,1,Accomack County ,600,Kegotank Elementary,Science,SOL,33.85
2023-2024,1,Accomack County ,702,Metompkin Elementary,English:Reading,SOL,49.61
2023-2024,1,Accomack County ,702,Metompkin Elementary,History and Social Science,SOL,61.97
2023-2024,1,Accomack County ,702,Metompkin Elementary,Mathematics,SOL,45.17
2023-2024,1,Accomack County ,702,Metompkin Elementary,Science,SOL,56.98
2023-2024,1,Accomack County ,70,Nandua High,English:Reading,SOL,84.62
2023-2024,1,Accomack County ,70,Nandua High,English:Writing,SOL,63.89
2023-2024,1,Accomack County ,70,Nandua High,History and Social Science,SOL,52.52
2023-2024,1,Accomack County ,70,Nandua High,Mathematics,SOL,94.51
2023-2024,1,Accomack County ,70,Nandua High,Science,SOL,76.33
2023-2024,1,Accomack County ,703,Nandua Middle,English:Reading,SOL,71.82
2023-2024,1,Accomack County ,703,Nandua Middle,English:Writing,SOL,80.95
2023-2024,1,Accomack County ,703,Nandua Middle,History and Social Science,SOL,76.81
2023-2024,1,Accomack County ,703,Nandua Middle,Mathematics,SOL,71.74
2023-2024,1,Accomack County ,703,Nandua Middle,Science,SOL,60.38
2023-2024,1,Accomack County ,590,Pungoteague Elementary,English:Reading,SOL,66.16
2023-2024,1,Accomack County ,590,Pungoteague Elementary,History and Social Science,SOL,70.15
2023-2024,1,Accomack County ,590,Pungoteague Elementary,Mathematics,SOL,68.5
2023-2024,1,Accomack County ,590,Pungoteague Elementary,Science,SOL,69.57
2023-2024,1,Accomack County ,530,Tangier Combined,English:Reading,SOL,78.95
2023-2024,1,Accomack County ,530,Tangier Combined,English:Writing,SOL,>50
2023-2024,1,Accomack County ,530,Tangier Combined,History and Social Science,SOL,92.31
2023-2024,1,Accomack County ,530,Tangier Combined,Mathematics,SOL,90.48
2023-2024,1,Accomack County ,530,Tangier Combined,Science,SOL,63.64
2023-2024,2,Albemarle County ,160,Agnor-Hurt Elementary,English:Reading,SOL,59.9
2023-2024,2,Albemarle County ,160,Agnor-Hurt Elementary,History and Social Science,SOL,65.91
2023-2024,2,Albemarle County ,160,Agnor-Hurt Elementary,Mathematics,SOL,57.22
2023-2024,2,Albemarle County ,160,Agnor-Hurt Elementary,Science,SOL,58.62
2023-2024,2,Albemarle County ,880,Albemarle High,English:Reading,SOL,79.92
2023-2024,2,Albemarle County ,880,Albemarle High,English:Writing,SOL,74.66
2023-2024,2,Albemarle County ,880,Albemarle High,History and Social Science,SOL,>50
2023-2024,2,Albemarle County ,880,Albemarle High,Mathematics,SOL,70.18
2023-2024,2,Albemarle County ,880,Albemarle High,Science,SOL,59.15
2023-2024,2,Albemarle County ,1053,Baker-Butler Elem,English:Reading,SOL,77.26
2023-2024,2,Albemarle County ,1053,Baker-Butler Elem,History and Social Science,SOL,68.93
2023-2024,2,Albemarle County ,1053,Baker-Butler Elem,Mathematics,SOL,80.16
2023-2024,2,Albemarle County ,1053,Baker-Butler Elem,Science,SOL,72.97
2023-2024,2,Albemarle County ,100,Broadus Wood Elementary,English:Reading,SOL,82.54
2023-2024,2,Albemarle County ,100,Broadus Wood Elementary,History and Social Science,SOL,85.42
2023-2024,2,Albemarle County ,100,Broadus Wood Elementary,Mathematics,SOL,86.61
2023-2024,2,Albemarle County ,100,Broadus Wood Elementary,Science,SOL,82
2023-2024,2,Albemarle County ,941,Brownsville Elementary,English:Reading,SOL,83.78
2023-2024,2,Albemarle County ,941,Brownsville Elementary,History and Social Science,SOL,79.82
2023-2024,2,Albemarle County ,941,Brownsville Elementary,Mathematics,SOL,84.46
2023-2024,2,Albemarle County ,941,Brownsville Elementary,Science,SOL,75.89
2023-2024,2,Albemarle County ,890,Community Lab School,English:Reading,SOL,88.89
2023-2024,2,Albemarle County ,890,Community Lab School,English:Writing,SOL,90.48
2023-2024,2,Albemarle County ,890,Community Lab School,Mathematics,SOL,85.12
2023-2024,2,Albemarle County ,890,Community Lab School,Science,SOL,91.23
2023-2024,2,Albemarle County ,340,Crozet Elementary,English:Reading,SOL,83.61
2023-2024,2,Albemarle County ,340,Crozet Elementary,History and Social Science,SOL,71.84
2023-2024,2,Albemarle County ,340,Crozet Elementary,Mathematics,SOL,79.14
2023-2024,2,Albemarle County ,340,Crozet Elementary,Science,SOL,66.99
2023-2024,2,Albemarle County ,10,Hollymead Elementary,English:Reading,SOL,87.86
2023-2024,2,Albemarle County ,10,Hollymead Elementary,History and Social Science,SOL,91.67
2023-2024,2,Albemarle County ,10,Hollymead Elementary,Mathematics,SOL,85.56
2023-2024,2,Albemarle County ,10,Hollymead Elementary,Science,SOL,86.67
2023-2024,2,Albemarle County ,250,Ivy Elementary,English:Reading,SOL,86.98
2023-2024,2,Albemarle County ,250,Ivy Elementary,History and Social Science,SOL,88.89
2023-2024,2,Albemarle County ,250,Ivy Elementary,Mathematics,SOL,90.53
2023-2024,2,Albemarle County ,250,Ivy Elementary,Science,SOL,85.19
2023-2024,2,Albemarle County ,69,Jackson P. Burley Middle,English:Reading,SOL,67.55
2023-2024,2,Albemarle County ,69,Jackson P. Burley Middle,History and Social Science,SOL,69.68
2023-2024,2,Albemarle County ,69,Jackson P. Burley Middle,Mathematics,SOL,60.63
2023-2024,2,Albemarle County ,69,Jackson P. Burley Middle,Science,SOL,59.2
2023-2024,2,Albemarle County ,942,Joseph T. Henley Middle,English:Reading,SOL,88.17
2023-2024,2,Albemarle County ,942,Joseph T. Henley Middle,History and Social Science,SOL,87.55
2023-2024,2,Albemarle County ,942,Joseph T. Henley Middle,Mathematics,SOL,85.1
2023-2024,2,Albemarle County ,942,Joseph T. Henley Middle,Science,SOL,84.73
2023-2024,2,Albemarle County ,950,Journey Middle,English:Reading,SOL,55.15
2023-2024,2,Albemarle County ,950,Journey Middle,History and Social Science,SOL,66.86
2023-2024,2,Albemarle County ,950,Journey Middle,Mathematics,SOL,50.58
2023-2024,2,Albemarle County ,950,Journey Middle,Science,SOL,48.99
2023-2024,2,Albemarle County ,1051,Lakeside Middle,English:Reading,SOL,85.38
2023-2024,2,Albemarle County ,1051,Lakeside Middle,History and Social Science,SOL,89.24
2023-2024,2,Albemarle County ,1051,Lakeside Middle,Mathematics,SOL,82.06
2023-2024,2,Albemarle County ,1051,Lakeside Middle,Science,SOL,81.71
2023-2024,2,Albemarle County ,20,Leslie H. Walton Middle,English:Reading,SOL,68.81
2023-2024,2,Albemarle County ,20,Leslie H. Walton Middle,History and Social Science,SOL,73.08
2023-2024,2,Albemarle County ,20,Leslie H. Walton Middle,Mathematics,SOL,63.58
2023-2024,2,Albemarle County ,20,Leslie H. Walton Middle,Science,SOL,66.98
2023-2024,2,Albemarle County ,40,Mary Carr Greer Elementary,English:Reading,SOL,50
2023-2024,2,Albemarle County ,40,Mary Carr Greer Elementary,History and Social Science,SOL,34.78
2023-2024,2,Albemarle County ,40,Mary Carr Greer Elementary,Mathematics,SOL,44.74
2023-2024,2,Albemarle County ,40,Mary Carr Greer Elementary,Science,SOL,47.83
2023-2024,2,Albemarle County ,1052,Monticello High,English:Reading,SOL,77.82
2023-2024,2,Albemarle County ,1052,Monticello High,English:Writing,SOL,68.51
2023-2024,2,Albemarle County ,1052,Monticello High,History and Social Science,SOL,<50
