"division_name","school_name","group_type","number_unfilled","percent_unfilled","pass_rate","school_level_expenditures_per_pupil_federal","school_level_expenditures_per_pupil_state","total_school_level_ppexp","per_pupil_federal_funds","per_pupil_state_funds","breakfast_percent","percent_of_inexperienced_principals","percent_of_inexperienced_assistant_principals","bachelors_percent","masters_percent","graduation_rate","completion_rate","ps_enrollment_percent","special_education_percent","poverty_high","poverty_low","poverty_level","percent_of_inexperienced_teachers","percent_of_out_of_field_teachers","percent_of_out_of_field_and_inexperienced_teachers","median_income","county_rank"
"Accomack County","Accawmacke Elementary","Physical, Health, and Safety Education",0,0,NA,1777,9456,11233,2127,13462,65,0,0,39,47,NA,NA,NA,0,1,0,"High Poverty",3,6.1,0,57500,2147
"Accomack County","Accawmacke Elementary","Visual and Performing Arts",0,0,NA,1777,9456,11233,2127,13462,65,0,0,39,47,NA,NA,NA,0,1,0,"High Poverty",3,6.1,0,57500,2147
"Accomack County","Accawmacke Elementary","CTE and other electives",0,0,NA,1777,9456,11233,2127,13462,65,0,0,39,47,NA,NA,NA,0,1,0,"High Poverty",3,6.1,0,57500,2147
"Accomack County","Accawmacke Elementary","Elementary, PK-6",1,4.6,NA,1777,9456,11233,2127,13462,65,0,0,39,47,NA,NA,NA,0,1,0,"High Poverty",3,6.1,0,57500,2147
"Accomack County","Accawmacke Elementary","Special Education",0,0,NA,1777,9456,11233,2127,13462,65,0,0,39,47,NA,NA,NA,0,1,0,"High Poverty",3,6.1,0,57500,2147
"Accomack County","Arcadia High","English Language and Literature",0,0,76.51,527,7556,8083,877,11562,43.3,0,50,43,45,84.5,88.1,43,0,1,0,"High Poverty",14.5,20,3.6,57500,2147
"Accomack County","Arcadia High","English Language and Literature",0,0,59.33,527,7556,8083,877,11562,43.3,0,50,43,45,84.5,88.1,43,0,1,0,"High Poverty",14.5,20,3.6,57500,2147
"Accomack County","Arcadia High","Mathematics",0,0,81.77,527,7556,8083,877,11562,43.3,0,50,43,45,84.5,88.1,43,0,1,0,"High Poverty",14.5,20,3.6,57500,2147
"Accomack County","Arcadia High","Physical, Health, and Safety Education",0,0,NA,527,7556,8083,877,11562,43.3,0,50,43,45,84.5,88.1,43,0,1,0,"High Poverty",14.5,20,3.6,57500,2147
"Accomack County","Arcadia High","Life and Physical Sciences",1,27,62.4,527,7556,8083,877,11562,43.3,0,50,43,45,84.5,88.1,43,0,1,0,"High Poverty",14.5,20,3.6,57500,2147
"Accomack County","Arcadia High","Special Education",1,14.3,NA,527,7556,8083,877,11562,43.3,0,50,43,45,84.5,88.1,43,0,1,0,"High Poverty",14.5,20,3.6,57500,2147
"Accomack County","Arcadia High","Visual and Performing Arts",0,0,NA,527,7556,8083,877,11562,43.3,0,50,43,45,84.5,88.1,43,0,1,0,"High Poverty",14.5,20,3.6,57500,2147
"Accomack County","Arcadia High","CTE and other electives",0,0,NA,527,7556,8083,877,11562,43.3,0,50,43,45,84.5,88.1,43,0,1,0,"High Poverty",14.5,20,3.6,57500,2147
"Accomack County","Arcadia High","Social Sciences and History",0,0,71.02,527,7556,8083,877,11562,43.3,0,50,43,45,84.5,88.1,43,0,1,0,"High Poverty",14.5,20,3.6,57500,2147
"Accomack County","Arcadia High","World language",0,0,NA,527,7556,8083,877,11562,43.3,0,50,43,45,84.5,88.1,43,0,1,0,"High Poverty",14.5,20,3.6,57500,2147
"Accomack County","Arcadia Middle","English Language and Literature",1,12.5,58.21,1169,8252,9421,1519,12258,42.2,0,33.3,53,35,NA,NA,NA,0,1,0,"High Poverty",12.8,15.4,2.6,57500,2147
"Accomack County","Arcadia Middle","Special Education",0,0,NA,1169,8252,9421,1519,12258,42.2,0,33.3,53,35,NA,NA,NA,0,1,0,"High Poverty",12.8,15.4,2.6,57500,2147
"Accomack County","Arcadia Middle","Life and Physical Sciences",0,0,49.08,1169,8252,9421,1519,12258,42.2,0,33.3,53,35,NA,NA,NA,0,1,0,"High Poverty",12.8,15.4,2.6,57500,2147
"Accomack County","Arcadia Middle","World language",0,0,NA,1169,8252,9421,1519,12258,42.2,0,33.3,53,35,NA,NA,NA,0,1,0,"High Poverty",12.8,15.4,2.6,57500,2147
"Accomack County","Arcadia Middle","CTE and other electives",0,0,NA,1169,8252,9421,1519,12258,42.2,0,33.3,53,35,NA,NA,NA,0,1,0,"High Poverty",12.8,15.4,2.6,57500,2147
"Accomack County","Arcadia Middle","Visual and Performing Arts",0,0,NA,1169,8252,9421,1519,12258,42.2,0,33.3,53,35,NA,NA,NA,0,1,0,"High Poverty",12.8,15.4,2.6,57500,2147
"Accomack County","Arcadia Middle","Mathematics",1,12.5,56.67,1169,8252,9421,1519,12258,42.2,0,33.3,53,35,NA,NA,NA,0,1,0,"High Poverty",12.8,15.4,2.6,57500,2147
"Accomack County","Arcadia Middle","Social Sciences and History",0,0,73.24,1169,8252,9421,1519,12258,42.2,0,33.3,53,35,NA,NA,NA,0,1,0,"High Poverty",12.8,15.4,2.6,57500,2147
"Accomack County","Arcadia Middle","Physical, Health, and Safety Education",0,0,NA,1169,8252,9421,1519,12258,42.2,0,33.3,53,35,NA,NA,NA,0,1,0,"High Poverty",12.8,15.4,2.6,57500,2147
"Accomack County","Chincoteague Elementary","Elementary, PK-6",0,0,NA,1077,10913,11991,1427,14919,52.1,0,100,35,52,NA,NA,NA,0,1,0,"High Poverty",10,10,0,57500,2147
"Accomack County","Chincoteague Elementary","Special Education",0,0,NA,1077,10913,11991,1427,14919,52.1,0,100,35,52,NA,NA,NA,0,1,0,"High Poverty",10,10,0,57500,2147
"Accomack County","Chincoteague Elementary","Visual and Performing Arts",0,0,NA,1077,10913,11991,1427,14919,52.1,0,100,35,52,NA,NA,NA,0,1,0,"High Poverty",10,10,0,57500,2147
"Accomack County","Chincoteague Elementary","Physical, Health, and Safety Education",0,0,NA,1077,10913,11991,1427,14919,52.1,0,100,35,52,NA,NA,NA,0,1,0,"High Poverty",10,10,0,57500,2147
"Accomack County","Chincoteague Elementary","CTE and other electives",0,0,NA,1077,10913,11991,1427,14919,52.1,0,100,35,52,NA,NA,NA,0,1,0,"High Poverty",10,10,0,57500,2147
"Accomack County","Chincoteague High","World language",0,0,NA,598,10482,11080,948,14488,22,0,50,45,48,91.1,91.1,62,0,1,0,"High Poverty",6.7,16.7,0,57500,2147
"Accomack County","Chincoteague High","Special Education",0,0,NA,598,10482,11080,948,14488,22,0,50,45,48,91.1,91.1,62,0,1,0,"High Poverty",6.7,16.7,0,57500,2147
"Accomack County","Chincoteague High","Physical, Health, and Safety Education",0,0,NA,598,10482,11080,948,14488,22,0,50,45,48,91.1,91.1,62,0,1,0,"High Poverty",6.7,16.7,0,57500,2147
"Accomack County","Chincoteague High","English Language and Literature",0,0,84.62,598,10482,11080,948,14488,22,0,50,45,48,91.1,91.1,62,0,1,0,"High Poverty",6.7,16.7,0,57500,2147
"Accomack County","Chincoteague High","English Language and Literature",0,0,86.84,598,10482,11080,948,14488,22,0,50,45,48,91.1,91.1,62,0,1,0,"High Poverty",6.7,16.7,0,57500,2147
"Accomack County","Chincoteague High","Social Sciences and History",0,0,69.31,598,10482,11080,948,14488,22,0,50,45,48,91.1,91.1,62,0,1,0,"High Poverty",6.7,16.7,0,57500,2147
"Accomack County","Chincoteague High","Mathematics",0,0,86.86,598,10482,11080,948,14488,22,0,50,45,48,91.1,91.1,62,0,1,0,"High Poverty",6.7,16.7,0,57500,2147
"Accomack County","Chincoteague High","Life and Physical Sciences",0,0,81.25,598,10482,11080,948,14488,22,0,50,45,48,91.1,91.1,62,0,1,0,"High Poverty",6.7,16.7,0,57500,2147
"Accomack County","Chincoteague High","CTE and other electives",0,0,NA,598,10482,11080,948,14488,22,0,50,45,48,91.1,91.1,62,0,1,0,"High Poverty",6.7,16.7,0,57500,2147
"Accomack County","Chincoteague High","Visual and Performing Arts",0,0,NA,598,10482,11080,948,14488,22,0,50,45,48,91.1,91.1,62,0,1,0,"High Poverty",6.7,16.7,0,57500,2147
"Accomack County","Kegotank Elementary","Elementary, PK-6",1,4.4,NA,2160,8869,11028,2510,12875,75.4,100,0,77,23,NA,NA,NA,0,1,0,"High Poverty",12.5,12.5,0,57500,2147
"Accomack County","Kegotank Elementary","Physical, Health, and Safety Education",0,0,NA,2160,8869,11028,2510,12875,75.4,100,0,77,23,NA,NA,NA,0,1,0,"High Poverty",12.5,12.5,0,57500,2147
"Accomack County","Kegotank Elementary","CTE and other electives",0,0,NA,2160,8869,11028,2510,12875,75.4,100,0,77,23,NA,NA,NA,0,1,0,"High Poverty",12.5,12.5,0,57500,2147
"Accomack County","Kegotank Elementary","Special Education",0,0,NA,2160,8869,11028,2510,12875,75.4,100,0,77,23,NA,NA,NA,0,1,0,"High Poverty",12.5,12.5,0,57500,2147
"Accomack County","Kegotank Elementary","Visual and Performing Arts",0,0,NA,2160,8869,11028,2510,12875,75.4,100,0,77,23,NA,NA,NA,0,1,0,"High Poverty",12.5,12.5,0,57500,2147
"Accomack County","Metompkin Elementary","Visual and Performing Arts",0,0,NA,1484,8056,9541,1834,12062,79.5,0,0,56,27,NA,NA,NA,2.7,1,0,"High Poverty",16.2,18.9,5.4,57500,2147
"Accomack County","Metompkin Elementary","CTE and other electives",0,0,NA,1484,8056,9541,1834,12062,79.5,0,0,56,27,NA,NA,NA,2.7,1,0,"High Poverty",16.2,18.9,5.4,57500,2147
"Accomack County","Metompkin Elementary","Special Education",0,0,NA,1484,8056,9541,1834,12062,79.5,0,0,56,27,NA,NA,NA,2.7,1,0,"High Poverty",16.2,18.9,5.4,57500,2147
"Accomack County","Metompkin Elementary","Physical, Health, and Safety Education",0,0,NA,1484,8056,9541,1834,12062,79.5,0,0,56,27,NA,NA,NA,2.7,1,0,"High Poverty",16.2,18.9,5.4,57500,2147
"Accomack County","Metompkin Elementary","Elementary, PK-6",0,0,NA,1484,8056,9541,1834,12062,79.5,0,0,56,27,NA,NA,NA,2.7,1,0,"High Poverty",16.2,18.9,5.4,57500,2147
"Accomack County","Nandua High","English Language and Literature",0,0,84.62,520,8771,9291,870,12777,24.1,0,33.3,38,50,88.1,88.1,52,0,1,0,"High Poverty",4.2,20.8,0,57500,2147
"Accomack County","Nandua High","English Language and Literature",0,0,63.89,520,8771,9291,870,12777,24.1,0,33.3,38,50,88.1,88.1,52,0,1,0,"High Poverty",4.2,20.8,0,57500,2147
"Accomack County","Nandua High","Visual and Performing Arts",0,0,NA,520,8771,9291,870,12777,24.1,0,33.3,38,50,88.1,88.1,52,0,1,0,"High Poverty",4.2,20.8,0,57500,2147
"Accomack County","Nandua High","World language",0,0,NA,520,8771,9291,870,12777,24.1,0,33.3,38,50,88.1,88.1,52,0,1,0,"High Poverty",4.2,20.8,0,57500,2147
"Accomack County","Nandua High","Mathematics",0,0,94.51,520,8771,9291,870,12777,24.1,0,33.3,38,50,88.1,88.1,52,0,1,0,"High Poverty",4.2,20.8,0,57500,2147
"Accomack County","Nandua High","Social Sciences and History",0,0,52.52,520,8771,9291,870,12777,24.1,0,33.3,38,50,88.1,88.1,52,0,1,0,"High Poverty",4.2,20.8,0,57500,2147
"Accomack County","Nandua High","Physical, Health, and Safety Education",0,0,NA,520,8771,9291,870,12777,24.1,0,33.3,38,50,88.1,88.1,52,0,1,0,"High Poverty",4.2,20.8,0,57500,2147
"Accomack County","Nandua High","Life and Physical Sciences",0,0,76.33,520,8771,9291,870,12777,24.1,0,33.3,38,50,88.1,88.1,52,0,1,0,"High Poverty",4.2,20.8,0,57500,2147
"Accomack County","Nandua High","CTE and other electives",0,0,NA,520,8771,9291,870,12777,24.1,0,33.3,38,50,88.1,88.1,52,0,1,0,"High Poverty",4.2,20.8,0,57500,2147
"Accomack County","Nandua Middle","English Language and Literature",0,0,71.82,1329,9223,10552,1679,13229,53.1,0,0,40,48,NA,NA,NA,0,1,0,"High Poverty",7.7,23.1,2.6,57500,2147
"Accomack County","Nandua Middle","English Language and Literature",0,0,80.95,1329,9223,10552,1679,13229,53.1,0,0,40,48,NA,NA,NA,0,1,0,"High Poverty",7.7,23.1,2.6,57500,2147
"Accomack County","Nandua Middle","Visual and Performing Arts",1,50,NA,1329,9223,10552,1679,13229,53.1,0,0,40,48,NA,NA,NA,0,1,0,"High Poverty",7.7,23.1,2.6,57500,2147
"Accomack County","Nandua Middle","Social Sciences and History",0,0,76.81,1329,9223,10552,1679,13229,53.1,0,0,40,48,NA,NA,NA,0,1,0,"High Poverty",7.7,23.1,2.6,57500,2147
