"division_name","median_income","district_masters_avg","district_poverty","district_enrollment_avg"
"Accomack County Public Schools",57500,42.0659340659341,3,52.3448275862069
"Albemarle County Public Schools",102617,61.8177083333333,1.390625,74.3333333333333
"Alexandria City Public Schools",113638,64.5714285714286,1.85714285714286,63
"Alleghany Highlands Public Schools",55160,40.7090909090909,2,51
"Amelia County Public Schools",66339,42.6071428571429,2,43
"Amherst County Public Schools",67298,48.231884057971,2,49
"Appomattox County Public Schools",62337,43.34375,2,49
"Arlington County Public Schools",140160,71.6111111111111,1.43333333333333,78.3333333333333
"Augusta County Public Schools",79972,45.68,2,47.8
"Bedford County Public Schools",77644,46.5095541401274,1.70063694267516,55
"Bland County Public Schools",61375,36,2,61
"Botetourt County Public Schools",80467,47.1134020618557,1.45360824742268,66
"Bristol City Public Schools",44706,44.75,3,64
"Brunswick County Public Schools",52978,30.5555555555556,3,50
"Buchanan County Public Schools",42216,47.5131578947368,3,60.4444444444444
"Buckingham County Public Schools",59199,42.6315789473684,3,44
"Buena Vista City Public Schools",54458,39.8333333333333,2,45
"Campbell County Public Schools",62608,44.5304347826087,2,48.5
"Caroline County Public Schools",86267,38.906976744186,2,53
"Carroll County Public Schools",52575,49.0126582278481,2,54
"Charles City County Public Schools",70339,53.7777777777778,3,47
"Charlotte County Public Schools",48892,41.6666666666667,2,53
"Charlottesville City Public Schools",69829,60.5263157894737,2.14035087719298,64
"Chesapeake City Public Schools",94189,53.8005698005698,1.63247863247863,63.7142857142857
"Chesterfield County Public Schools",98910,53.6114180478821,1.61325966850829,66.1443298969072
"Clarke County Public Schools",114185,56.2571428571429,1.22857142857143,65
"Colonial Beach Public Schools",NA,25.8823529411765,2,36
"Colonial Heights City Public Schools",76250,41.2439024390244,2,62
"Craig County Public Schools",67778,47.7368421052632,2,42
"Culpeper County Public Schools",96098,42.7906976744186,1.90697674418605,57
"Cumberland County Public Schools",57057,45.04,3,46
"Danville City Public Schools",42778,37.563829787234,3,52.5
"Dickenson County Public Schools",43831,29.4814814814815,3,52
"Dinwiddie County Public Schools",83898,47.8196721311475,2,52
"Essex County Public Schools",56481,46.04,3,44
"Fairfax County Public Schools",150113,67.7390146471372,1.4605614973262,77.3805668016194
"Falls Church City Public Schools",154734,76.1034482758621,1,85
"Fauquier County Public Schools",129495,52.8068965517241,1.44137931034483,67.3333333333333
"Floyd County Public Schools",61401,49.1052631578947,2,66
"Fluvanna County Public Schools",91959,50.84375,1.375,62
"Franklin City Public Schools",65125,34.8888888888889,3,42
"Franklin County Public Schools",68348,44.7448979591837,2,56
"Frederick County Public Schools",95603,49.1172839506173,1.72222222222222,60.6666666666667
"Fredericksburg City Public Schools",85368,48.7428571428571,2,63
"Galax City Public Schools",41438,51.4444444444444,2.62962962962963,57
"Giles County Public Schools",64819,41.1818181818182,2,52
"Gloucester County Public Schools",83689,55.3424657534247,2,51
"Goochland County Public Schools",118695,56.3658536585366,1.17073170731707,71
"Grayson County Public Schools",42864,39.5882352941176,2,46
"Greene County Public Schools",85268,52.3243243243243,2,65
"Greensville County Public Schools",56759,37,3,54
"Halifax County Public Schools",49244,40.3421052631579,3,56
"Hampton City Public Schools",67758,45.3545816733068,2.44621513944223,46
"Hanover County Public Schools",109504,62.3333333333333,1.33333333333333,69.6923076923077
"Harrisonburg City Public Schools",59752,50.7534246575342,2,59
"Henrico County Public Schools",86397,58.8155339805825,2.15728155339806,67.4444444444444
"Henry County Public Schools",48445,41.7407407407407,3,66
"Highland County Public Schools",62946,38.7777777777778,2,NA
"Hopewell City Public Schools",48681,35.1063829787234,3,44
"Isle of Wight County Public Schools",96118,49.7567567567568,1.67567567567568,56.7368421052632
"King George County Public Schools",110517,50.6382978723404,1.21276595744681,52
"King William County Public Schools",85212,45.0967741935484,2,45
"King and Queen County Public Schools",72851,41.7857142857143,3,41
"Lancaster County Public Schools",67169,47.9,3,52
"Lee County Public Schools",42269,38.05,3,39.9473684210526
"Lexington City Public Schools",89598,55.2941176470588,1,NA
"Loudoun County Public Schools",178707,71.2703619909502,1.21864211737629,81.0774193548387
"Lunenburg County Public Schools",54460,42.1515151515151,3,46
"Lynchburg City Public Schools",59808,44.1870503597122,3,65.5
"Madison County Public Schools",82972,38.9354838709677,2,51
"Manassas City Public Schools",117919,56.1714285714286,2,52
"Manassas Park City Public Schools",100668,49.9032258064516,2,45
"Martinsville City Public Schools",42434,44.3714285714286,3,64
"Mathews County Public Schools",75487,54.5555555555556,2,45
"Mecklenburg County Public Schools",51691,39.2407407407407,3,NA
"Middlesex County Public Schools",74154,45.4074074074074,3,41
"Montgomery County Public Schools",70769,55.1845238095238,1.67261904761905,68
"Nelson County Public Schools",68525,58.6285714285714,2,46
"New Kent County Public Schools",120125,49.7111111111111,1,55
"Newport News City Public Schools",66718,51.9935897435897,3,47.3333333333333
"Norfolk City Public Schools",64017,48.2793650793651,3,45.9803921568627
"Northampton County Public Schools",55933,37.3428571428571,3,50
"Northumberland County Public Schools",69500,42.6666666666667,3,50
"Norton City Public Schools",38497,40.5,3,68
"Nottoway County Public Schools",62161,44.4883720930233,3,47
"Orange County Public Schools",94175,40.7205882352941,2,54
"Page County Public Schools",59396,37.1549295774648,2.12676056338028,40
"Patrick County Public Schools",50938,46.5909090909091,2.34090909090909,57
"Petersburg City Public Schools",50741,35.3272727272727,3,43
"Pittsylvania County Public Schools",54115,39.2590361445783,2,55.25
"Poquoson City Public Schools",120919,48.5757575757576,1,69
"Portsmouth City Public Schools",58972,43.4223602484472,3,42.6666666666667
