School Year,Division Number,Division Name,School Number,School Name,Position Type,Group Type,Adult Ed,Number of Positions by FTE,Number of Unfilled Positions by FTE,Percent Unfilled
2023-2024,1,Accomack County ,701,Accawmacke Elementary,Teachers,"Physical, Health, and Safety Education",N,1,0,0.00%
2023-2024,1,Accomack County ,701,Accawmacke Elementary,Teachers,Visual and Performing Arts,N,2,0,0.00%
2023-2024,1,Accomack County ,701,Accawmacke Elementary,Teachers,CTE and other electives,N,1,0,0.00%
2023-2024,1,Accomack County ,701,Accawmacke Elementary,Teachers,"Elementary, PK-6",N,22,1,4.60%
2023-2024,1,Accomack County ,701,Accawmacke Elementary,Teachers,Special Education,N,3,0,0.00%
2023-2024,1,Accomack County ,540,Arcadia High,Teachers,English Language and Literature,N,7,0,0.00%
2023-2024,1,Accomack County ,540,Arcadia High,Teachers,Mathematics,N,8.2,0,0.00%
2023-2024,1,Accomack County ,540,Arcadia High,Teachers,"Physical, Health, and Safety Education",N,3,0,0.00%
2023-2024,1,Accomack County ,540,Arcadia High,Teachers,Life and Physical Sciences,N,3.7,1,27.00%
2023-2024,1,Accomack County ,540,Arcadia High,Teachers,Special Education,N,7,1,14.30%
2023-2024,1,Accomack County ,540,Arcadia High,Teachers,Visual and Performing Arts,N,3.33,0,0.00%
2023-2024,1,Accomack County ,540,Arcadia High,Teachers,CTE and other electives,N,11.49,0,0.00%
2023-2024,1,Accomack County ,540,Arcadia High,Teachers,Social Sciences and History,N,10.1,0,0.00%
2023-2024,1,Accomack County ,540,Arcadia High,Teachers,World language,N,3,0,0.00%
2023-2024,1,Accomack County ,704,Arcadia Middle ,Teachers,English Language and Literature,N,8,1,12.50%
2023-2024,1,Accomack County ,704,Arcadia Middle ,Teachers,Special Education,N,5,0,0.00%
2023-2024,1,Accomack County ,704,Arcadia Middle ,Teachers,Life and Physical Sciences,N,4,0,0.00%
2023-2024,1,Accomack County ,704,Arcadia Middle ,Teachers,World language,N,1,0,0.00%
2023-2024,1,Accomack County ,704,Arcadia Middle ,Teachers,CTE and other electives,N,6,0,0.00%
2023-2024,1,Accomack County ,704,Arcadia Middle ,Teachers,Visual and Performing Arts,N,3,0,0.00%
2023-2024,1,Accomack County ,704,Arcadia Middle ,Teachers,Mathematics,N,8,1,12.50%
2023-2024,1,Accomack County ,704,Arcadia Middle ,Teachers,Social Sciences and History,N,5,0,0.00%
2023-2024,1,Accomack County ,704,Arcadia Middle ,Teachers,"Physical, Health, and Safety Education",N,3,0,0.00%
